001-TIME,002-NumDens-Spec-001,003-Massflow-Spec-001-SF-001,004-nPartIn-Spec-001,005-nPartOut-Spec-001,006-EkinIn-001,007-EkinOut-001
0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.1000000000000000E-006,0.4839999999999997E+018,0.1891784000000000E-014,0.7120000000000000E+003,0.2280000000000000E+003,0.7268723329514904E-016,0.2948140830264534E-016
0.2000000000000000E-006,0.5549999999999997E+018,0.1883813000000000E-014,0.7090000000000000E+003,0.6380000000000000E+003,0.6988977895259887E-016,0.6938302239961881E-016
0.3000000000000000E-006,0.5849999999999997E+018,0.1899755000000000E-014,0.7150000000000000E+003,0.6850000000000000E+003,0.6980429289748339E-016,0.6521966100795915E-016
0.4000000000000000E-006,0.5789999999999997E+018,0.1883813000000000E-014,0.7090000000000000E+003,0.7150000000000000E+003,0.7142778889107001E-016,0.7320900381190342E-016
0.5000000000000000E-006,0.5839999999999997E+018,0.1883813000000000E-014,0.7090000000000000E+003,0.7040000000000000E+003,0.6911406105147025E-016,0.6860130179416048E-016
0.6000000000000000E-006,0.5799999999999997E+018,0.1894441000000000E-014,0.7130000000000000E+003,0.7170000000000000E+003,0.7283508519052089E-016,0.7191665982300348E-016
0.7000000000000000E-006,0.5539999999999997E+018,0.1875842000000000E-014,0.7060000000000000E+003,0.7320000000000000E+003,0.7164252875414855E-016,0.7510315758634154E-016
0.8000000000000000E-006,0.5599999999999997E+018,0.1875842000000000E-014,0.7060000000000000E+003,0.7000000000000000E+003,0.7142335778242328E-016,0.7093511644661597E-016
0.9000000000000000E-006,0.5669999999999997E+018,0.1838644000000000E-014,0.6920000000000000E+003,0.6850000000000000E+003,0.6875339726374847E-016,0.6662294888996197E-016
0.1000000000000000E-005,0.5949999999999997E+018,0.1878499000000000E-014,0.7070000000000000E+003,0.6790000000000000E+003,0.7069056811963112E-016,0.6913317891261794E-016
0.1100000000000000E-005,0.5649999999999997E+018,0.1849271999999999E-014,0.6960000000000000E+003,0.7260000000000000E+003,0.6881104809896893E-016,0.7193358757449571E-016
0.1200000000000000E-005,0.5539999999999997E+018,0.1841301000000002E-014,0.6930000000000000E+003,0.7040000000000000E+003,0.6543874342949724E-016,0.6890921557122279E-016
0.1300000000000000E-005,0.6009999999999997E+018,0.1897098000000002E-014,0.7140000000000000E+003,0.6670000000000000E+003,0.6995192811516651E-016,0.6436844586524174E-016
0.1400000000000000E-005,0.5729999999999997E+018,0.1878499000000002E-014,0.7070000000000000E+003,0.7350000000000000E+003,0.7319854692833542E-016,0.7302108609127960E-016
0.1500000000000000E-005,0.5779999999999997E+018,0.1891784000000003E-014,0.7120000000000000E+003,0.7070000000000000E+003,0.6903159794361732E-016,0.7156629931650623E-016
0.1600000000000000E-005,0.5899999999999997E+018,0.1865214000000002E-014,0.7020000000000000E+003,0.6900000000000000E+003,0.7184812860412929E-016,0.6808075343986831E-016
0.1699999999999999E-005,0.5709999999999997E+018,0.1910383000000002E-014,0.7190000000000000E+003,0.7380000000000000E+003,0.7353939703249908E-016,0.7393721206386255E-016
0.1799999999999999E-005,0.5679999999999997E+018,0.1857243000000002E-014,0.6990000000000000E+003,0.7020000000000000E+003,0.7097721598027927E-016,0.7299359540566589E-016
0.1899999999999999E-005,0.5729999999999997E+018,0.1841301000000002E-014,0.6930000000000000E+003,0.6880000000000000E+003,0.6962072304934944E-016,0.6836037862769319E-016
0.1999999999999999E-005,0.5609999999999997E+018,0.1891784000000002E-014,0.7120000000000000E+003,0.7240000000000000E+003,0.7043813116670209E-016,0.7409423330460504E-016
0.2099999999999999E-005,0.5799999999999997E+018,0.1886470000000002E-014,0.7100000000000000E+003,0.6910000000000000E+003,0.7048862746160327E-016,0.6932345408789174E-016
0.2199999999999999E-005,0.5869999999999997E+018,0.1918354000000002E-014,0.7220000000000000E+003,0.7150000000000000E+003,0.7049663042198016E-016,0.6951838526150283E-016
0.2299999999999999E-005,0.5199999999999997E+018,0.1796132000000002E-014,0.6760000000000000E+003,0.7430000000000000E+003,0.6502214382898640E-016,0.7187468927747341E-016
0.2399999999999999E-005,0.5779999999999997E+018,0.1859900000000002E-014,0.7000000000000000E+003,0.6420000000000000E+003,0.7060421690858431E-016,0.6346090318987676E-016
0.2499999999999999E-005,0.5829999999999997E+018,0.1891784000000002E-014,0.7120000000000000E+003,0.7070000000000000E+003,0.6984197094498827E-016,0.6969967808366090E-016
0.2599999999999998E-005,0.5929999999999997E+018,0.1934296000000002E-014,0.7280000000000000E+003,0.7180000000000000E+003,0.7441114919523571E-016,0.7288092459182237E-016
0.2699999999999998E-005,0.5609999999999997E+018,0.1873185000000002E-014,0.7050000000000000E+003,0.7370000000000000E+003,0.7011264432636802E-016,0.7379694604284362E-016
0.2799999999999998E-005,0.5539999999999997E+018,0.1854586000000002E-014,0.6980000000000000E+003,0.7050000000000000E+003,0.7127168138683301E-016,0.7155327661294609E-016
0.2899999999999998E-005,0.5709999999999997E+018,0.1857243000000002E-014,0.6990000000000000E+003,0.6820000000000000E+003,0.6953318578076681E-016,0.6836990171573572E-016
0.2999999999999998E-005,0.5799999999999997E+018,0.1910383000000002E-014,0.7190000000000000E+003,0.7100000000000000E+003,0.7239305469440635E-016,0.6937780904753222E-016
0.3099999999999998E-005,0.5609999999999997E+018,0.1862557000000002E-014,0.7010000000000000E+003,0.7200000000000000E+003,0.7253573853903968E-016,0.7377214179086748E-016
0.3199999999999998E-005,0.5349999999999997E+018,0.1841301000000002E-014,0.6930000000000000E+003,0.7190000000000000E+003,0.6924743546558136E-016,0.7454872976211280E-016
0.3299999999999998E-005,0.5519999999999997E+018,0.1862557000000002E-014,0.7010000000000000E+003,0.6840000000000000E+003,0.6986893019078146E-016,0.6919479060417321E-016
0.3399999999999998E-005,0.5809999999999997E+018,0.1886470000000002E-014,0.7100000000000000E+003,0.6810000000000000E+003,0.7218815413145542E-016,0.6861447551289219E-016
0.3499999999999997E-005,0.5909999999999997E+018,0.1910383000000002E-014,0.7190000000000000E+003,0.7090000000000000E+003,0.6971361974230581E-016,0.6878488810429697E-016
0.3599999999999997E-005,0.6019999999999997E+018,0.1897098000000002E-014,0.7140000000000000E+003,0.7030000000000000E+003,0.7105645136749599E-016,0.6950520485394997E-016
0.3699999999999997E-005,0.5749999999999997E+018,0.1889127000000002E-014,0.7110000000000000E+003,0.7380000000000000E+003,0.7006674641785720E-016,0.7343572604035717E-016
0.3799999999999997E-005,0.5789999999999997E+018,0.1825359000000002E-014,0.6870000000000000E+003,0.6830000000000000E+003,0.6559895857404708E-016,0.6550837615330492E-016
0.3899999999999997E-005,0.6039999999999997E+018,0.1878498999999994E-014,0.7070000000000000E+003,0.6820000000000000E+003,0.6703268005885724E-016,0.6588294696353572E-016
0.3999999999999997E-005,0.5619999999999997E+018,0.1894441000000002E-014,0.7130000000000000E+003,0.7550000000000000E+003,0.7132181591757840E-016,0.7260811266967793E-016
0.4099999999999997E-005,0.5429999999999997E+018,0.1798789000000002E-014,0.6770000000000000E+003,0.6960000000000000E+003,0.6784891593046849E-016,0.6760832531709113E-016
0.4199999999999997E-005,0.5669999999999997E+018,0.1867871000000002E-014,0.7030000000000000E+003,0.6790000000000000E+003,0.6948771923565907E-016,0.6880104335663150E-016
0.4299999999999997E-005,0.5859999999999997E+018,0.1921011000000002E-014,0.7230000000000000E+003,0.7040000000000000E+003,0.6990960997751029E-016,0.7037444094484667E-016
0.4399999999999997E-005,0.6029999999999997E+018,0.1830673000000002E-014,0.6890000000000000E+003,0.6720000000000000E+003,0.6534352738591119E-016,0.6473184136275419E-016
0.4499999999999997E-005,0.5619999999999997E+018,0.1817388000000002E-014,0.6840000000000000E+003,0.7250000000000000E+003,0.6687101304473819E-016,0.7078011701475677E-016
0.4599999999999997E-005,0.5849999999999997E+018,0.1881156000000002E-014,0.7080000000000000E+003,0.6850000000000000E+003,0.6918114683148932E-016,0.6573825325962209E-016
0.4699999999999997E-005,0.5989999999999997E+018,0.1939610000000002E-014,0.7300000000000000E+003,0.7160000000000000E+003,0.7357891443665409E-016,0.7213146591193205E-016
0.4799999999999996E-005,0.5859999999999997E+018,0.1891784000000002E-014,0.7120000000000000E+003,0.7250000000000000E+003,0.6948492721444258E-016,0.7072846436159557E-016
0.4899999999999996E-005,0.6109999999999997E+018,0.1899755000000002E-014,0.7150000000000000E+003,0.6900000000000000E+003,0.7161640155433379E-016,0.6897261310891034E-016
0.5000000000000000E-005,0.6109999999999997E+018,0.1889126999999922E-014,0.7110000000000000E+003,0.7110000000000000E+003,0.6805352155629410E-016,0.7015369229783691E-016
